age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;like1;like2;like3;community
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Jewish;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;6
66-75;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
26-35;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
56-65;female;Palo Alto;Jewish;Divorced;Production transportation and material moving;Far Left;Heterosexual;music artist;music artist;entertainment;4
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;music artist;music artist;entertainment;2
18-25;female;Boca Raton;Christian;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;8
46-55;male;Santa Barbara;Christian;Single;Service;Right;Heterosexual;entertainment;entertainment;music artist;4
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;tv show;drink brand;soccer club;9
18-25;male;Boston;No religious affiliation;Single;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;tv show;drink brand;soccer club;3
18-25;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
36-45;female;San Jose;Other Religions;Divorced;Manager;Center Left;Bisexual;entertainment;entertainment;music artist;2
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;tv show;drink brand;soccer club;9
26-35;female;Norfolk;Buddhist;Divorced;Manager;Far Left;Bisexual;music artist;music artist;entertainment;2
66-75;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Far Left;Heterosexual;tv show;drink brand;soccer club;3
66-75;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;music artist;music artist;entertainment;4
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;tv show;drink brand;soccer club;0
26-35;male;Santa Barbara;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;tv show;drink brand;soccer club;0
36-45;female;Boca Raton;Muslim;Single;Professional;Far Left;Heterosexual;entertainment;entertainment;music artist;5
